时间,进出口总值当期值(千美元)
2021年3月,468470355
2021年2月,371830507
2021年1月,462659051
2020年12月,485681681
2020年11月,460747151
2020年10月,415921986
2020年9月,442516723
2020年8月,411592986
2020年7月,412933153
2020年6月,380727151
2020年5月,350699571
2020年4月,355134209
2020年3月,350359336
2019年12月,429324834
2019年11月,404748448
2019年10月,382814169
2019年9月,396597945
2019年8月,394745790
2019年7月,398494544
2019年6月,374695654
2019年5月,386032988
2019年4月,373128980
2019年3月,364640162
2019年2月,266320173
2019年1月,395976434
2018年12月,385442692
2018年11月,410186049
2018年10月,400550396
2018年9月,421671250
2018年8月,406857991
2018年7月,403081000
2018年6月,391724412
2018年5月,400817104
2018年4月,371688501
2018年3月,353225743
2018年2月,309481182
2018年1月,380633747
2017年12月,408908054
2017年11月,394549958
2017年10月,339774414
2017年9月,367856966
2017年8月,356765596
2017年7月,340477446
2017年6月,350429225
2017年5月,341234306
2017年4月,321944001
2017年3月,337284922
2017年2月,249305614
2017年1月,314161658
2016年12月,378016588
2016年11月,342863237
2016年10月,306969670
2016年9月,327018366
2016年8月,329135339
2016年7月,315056873
2016年6月,312459054
2016年5月,312143222
2016年4月,299958011
2016年3月,291769733
2016年2月,219697006
2016年1月,291084568
2015年12月,387977840
2015年11月,339181636
2015年10月,323148187
2015年9月,350767303
2015年8月,333496775
2015年7月,347168095
2015年6月,337412104
2015年5月,321247714
2015年4月,318527152
2015年3月,286055898
2015年2月,277762096
2015年1月,340484185
2014年12月,405413212
2014年11月,368848960
2014年10月,368327943
2014年9月,396411570
2014年8月,367095251
2014年7月,378481575
2014年6月,342012378
2014年5月,355024110
2014年4月,358628525
2014年3月,332512681
2014年2月,251176182
2014年1月,382394944
2013年12月,389843996
2013年11月,370608687
2013年10月,339704440
2013年9月,356069938
2013年8月,352697865
2013年7月,354164683
2013年6月,321507187
2013年5月,345107274
2013年4月,355961467
2013年3月,365203096
2013年2月,263509010
2013年1月,345584884
2012年12月,366840927
2012年11月,339128259
2012年10月,319095518
2012年9月,345029990
2012年8月,329286043
2012年7月,328733311
2012年6月,328686836
2012年5月,343582201
2012年4月,308076236
2012年3月,325968900
2012年2月,260424706
2012年1月,272600339
2011年12月,332914539
2011年11月,334400118
2011年10月,297948470
2011年9月,324832092
2011年8月,328872435
2011年7月,318772463
2011年6月,301688971
2011年5月,301267415
2011年4月,299947165
2011年3月,304259379
2011年2月,200800092
2011年1月,295007361
2010年12月,295217729
2010年11月,283761707
2010年10月,244811120
2010年9月,273095589
2010年8月,258568382
2010年7月,262308256
2010年6月,254769304
2010年5月,243988412
2010年4月,238160128
2010年3月,231459885
2010年2月,181433048
2010年1月,204782346
2009年12月,243017595
2009年11月,208213860
2009年10月,197537132
2009年9月,218943864
2009年8月,191702243
2009年7月,200210823
2009年6月,182570753
2009年5月,164127242
2009年4月,170734409
2009年3月,162019659
2009年2月,124948306
2009年1月,141797865
2008年12月,183334407
2008年11月,189884755
2008年10月,221414714
2008年9月,243497362
2008年8月,241051168
2008年7月,248072192
2008年6月,221359490
2008年5月,220782553
2008年4月,220873768
2008年3月,204519033
2008年2月,166180930
2008年1月,199814476
2007年12月,206144967
2007年11月,208960363
2007年10月,188397323
2007年9月,200940255
2007年8月,197735485
2007年7月,191131293
2007年6月,179626502
2007年5月,165655863
2007年4月,178054164
2007年3月,159976870
2007年2月,140434953
2007年1月,157358930
2006年12月,167190806
2006年11月,168780985
2006年10月,152424888
2006年9月,167971961
2006年8月,162735898
2006年7月,146050666
2006年6月,148119519
2006年5月,133223612
2006年4月,143439532
2006年3月,144902969
2006年2月,105792012
2006年1月,120485642
2005年12月,139808390
2005年11月,133904978
2005年10月,124168029
2005年9月,132808633
2005年8月,126206291
2005年7月,120622786
2005年6月,122241579
2005年5月,107865453
2005年4月,119711424
2005年3月,116005232
2005年2月,84189386
2005年1月,95016344
2004年12月,116492514
2004年11月,111955162
2004年10月,97957453
